rs_id 	 so_term 	 ensembl_gene_ids 	 gene_symbols 	 distance 	 is_regulatory
rs1000113 	 nearest_gene_five_prime_end 	 ENSG00000237693 	 IRGM 	 -13990 	 
rs10002492 	 nearest_gene_five_prime_end 	 ENSG00000157869 	 RAB28 	 -906143 	 
rs10004195 	 upstream_gene_variant 	 ENSG00000174123 	 TLR10 	 0 	 
rs10004839 	 nearest_gene_five_prime_end 	 ENSG00000189184 	 PCDH18 	 -298836 	 
rs10005603 	 nearest_gene_five_prime_end 	 ENSG00000168769 	 TET2 	 -222759 	 
rs1000579 	 nearest_gene_five_prime_end 	 ENSG00000163132 	 MSX1 	 -141899 	 
rs1000597 	 intron_variant 	 ENSG00000250424 	 RP5-877J2.1 	 0 	 
rs10007052 	 intron_variant 	 ENSG00000170153 	 RNF150 	 0 	 
rs10007186 	 nearest_gene_five_prime_end 	 ENSG00000138756 	 BMP2K 	 -108451 	 
rs1000778 	 intron_variant 	 ENSG00000221968 	 FADS3 	 0 	 
rs10007810 	 intron_variant 	 ENSG00000064042 	 LIMCH1 	 0 	 
rs1000916 	 intron_variant 	 ENSG00000158089 	 GALNT14 	 0 	 
rs10009321 	 nearest_gene_five_prime_end 	 ENSG00000151466 	 SCLT1 	 -221465 	 
rs1000940 	 intron_variant 	 ENSG00000029725 	 RABEP1 	 0 	 
rs10009409 	 nearest_gene_five_prime_end 	 ENSG00000163626 	 COX18 	 -80219 	 
rs1001021 	 intron_variant 	 ENSG00000133454 	 MYO18B 	 0 	 
rs10010325 	 intron_variant 	 ENSG00000168769 	 TET2 	 0 	 
rs10010758 	 intron_variant 	 ENSG00000065882 	 TBC1D1 	 0 	 
rs10011926 	 intron_variant 	 ENSG00000170522 	 ELOVL6 	 0 	 
rs10012307 	 nearest_gene_five_prime_end 	 ENSG00000189184 	 PCDH18 	 -927065 	 
rs10012750 	 nearest_gene_five_prime_end 	 ENSG00000179059 	 ZFP42 	 -301812 	 
rs10012953 	 downstream_gene_variant 	 ENSG00000170522 	 ELOVL6 	 0 	 
